iter	Passed	Remaining
320	2268	445
321	2273	437
322	2278	430
323	2283	422
324	2289	415
325	2295	408
326	2300	400
327	2306	393
328	2311	386
329	2316	379
330	2322	371
331	2327	364
332	2332	357
333	2338	350
334	2343	342
335	2348	335
336	2354	328
337	2359	321
338	2364	313
339	2369	306
340	2374	299
341	2380	292
342	2385	285
343	2390	278
344	2395	270
345	2400	263
346	2405	256
347	2410	249
348	2416	242
349	2421	235
350	2426	228
351	2431	221
352	2437	214
353	2442	207
354	2448	200
355	2453	192
356	2458	185
357	2464	178
358	2469	171
359	2475	165
360	2480	158
361	2485	151
362	2491	144
363	2497	137
364	2502	130
365	2508	123
366	2514	116
367	2519	109
368	2525	102
369	2531	95
370	2537	88
371	2543	82
372	2549	75
373	2555	68
374	2561	61
375	2566	54
376	2571	47
377	2576	40
378	2581	34
379	2584	27
380	2589	20
381	2594	13
382	2600	6
383	2605	0
