iter	Logloss
0	0.643039713
1	0.6017077001
2	0.5630011342
3	0.5329340171
4	0.5009790724
5	0.4729261625
6	0.4516555732
7	0.4292174612
8	0.4093249864
9	0.3901736231
10	0.3736148159
11	0.3591479175
12	0.3466210021
13	0.3358364686
14	0.3261238649
15	0.3172801179
16	0.3090409243
17	0.3019763905
18	0.296019443
19	0.2900027076
20	0.2843306817
21	0.2792233669
22	0.2745255231
23	0.2705100631
24	0.2669573807
25	0.2635189811
26	0.2603437127
27	0.2575342395
28	0.2547585149
29	0.2523313757
30	0.2506826663
31	0.2484306604
32	0.2466226469
33	0.2451069916
34	0.2432659692
35	0.2416756631
36	0.2400611365
37	0.2381184966
38	0.2368822725
39	0.2358663874
40	0.2347094959
41	0.2337037341
42	0.2326468174
43	0.2311391149
44	0.2299196644
45	0.2290630286
46	0.2283373014
47	0.2276830305
48	0.2266509848
49	0.2260367876
50	0.2251171925
51	0.2241110303
52	0.2235986244
53	0.2230198821
54	0.2224100299
55	0.2220386094
56	0.2215414412
57	0.2210506968
58	0.2205219397
59	0.2201581287
60	0.2197976962
61	0.2193012533
62	0.2188866329
63	0.2184420478
64	0.2177437478
65	0.2173081324
66	0.2168590036
67	0.2160599774
68	0.2157704709
69	0.2152950949
70	0.2149166927
71	0.2145257476
72	0.2141320079
73	0.2136797181
74	0.2133706492
75	0.2129168677
76	0.2125642296
77	0.2123546353
78	0.2118863093
79	0.211621981
80	0.2113006639
81	0.2110303982
82	0.2108255791
83	0.2105393702
84	0.210308347
85	0.2100779011
86	0.2098708714
87	0.2096522785
88	0.2092685056
89	0.2089426049
90	0.2087739432
91	0.2085241586
92	0.2081819014
93	0.2078838176
94	0.2075331984
95	0.2072513044
96	0.2071217731
97	0.206915833
98	0.2067758995
99	0.2066513031
100	0.2062694676
101	0.2060798936
102	0.2056868834
103	0.2054273342
104	0.205196578
105	0.2049217227
106	0.204762289
107	0.2046239096
108	0.2044238507
109	0.2041952788
110	0.2039845044
111	0.2037749915
112	0.203513257
113	0.203322345
114	0.2031412378
115	0.2029975166
116	0.2029093399
117	0.2028009149
118	0.202573669
119	0.2025113049
120	0.2024262892
121	0.2022409224
122	0.2021014978
123	0.2019374667
124	0.2018168534
125	0.2017315686
126	0.2015848346
127	0.2014143094
128	0.2012370632
129	0.2011422758
130	0.2009405327
131	0.2008161856
132	0.2007149183
133	0.2005810117
134	0.2004679368
135	0.2003111267
136	0.2001764265
137	0.200023911
138	0.1999374644
139	0.1996810154
140	0.1994702744
141	0.1993011719
142	0.1991681121
143	0.1990497041
144	0.1989510334
145	0.1988614475
146	0.1987344595
147	0.1986307338
148	0.1985121391
149	0.1983826464
150	0.1982580201
151	0.1981737446
152	0.1979921181
153	0.1979046404
154	0.1977833171
155	0.197616441
156	0.1975439562
157	0.1973242124
158	0.1971977448
159	0.197065872
160	0.1969157963
161	0.1967526022
162	0.1966977742
163	0.1966206331
164	0.1965005658
165	0.1963822768
166	0.1962611224
167	0.196149578
168	0.1959985938
169	0.1958720534
170	0.1957874443
171	0.1956411279
172	0.1955222453
173	0.1953924913
174	0.1952785226
175	0.195268709
176	0.1951468025
177	0.1950304589
178	0.1949274226
179	0.1948140667
180	0.1947034435
181	0.1945894347
182	0.1944713593
183	0.194415001
184	0.1942972363
185	0.1942431612
186	0.1941427584
187	0.1940252033
188	0.1939365808
189	0.1938415957
190	0.1937908129
191	0.193660357
192	0.1935147768
193	0.1934104907
194	0.1933195402
195	0.1932348958
196	0.1931209568
197	0.1929754172
198	0.1928333806
199	0.1927628208
200	0.192660063
201	0.1925647572
202	0.1924476054
203	0.1923771117
204	0.1923381926
205	0.1922628351
206	0.1921317054
207	0.1920899151
208	0.191950208
209	0.1918542753
210	0.1917880026
211	0.1917023604
212	0.1916060399
213	0.1915548138
214	0.1914636726
215	0.1913692936
216	0.191264186
217	0.1912177285
218	0.1910601487
219	0.1909689889
220	0.1908173313
221	0.1907685929
222	0.190673277
223	0.1905975528
224	0.1904506918
225	0.1903574754
226	0.1902919662
227	0.1901757926
228	0.1901027499
229	0.1900509325
230	0.1899519946
231	0.1898715292
232	0.1897989892
233	0.1897115368
234	0.1896255603
235	0.1895158955
236	0.189450005
237	0.1893463229
238	0.1892714986
239	0.1891231775
240	0.1890560186
241	0.1889967524
242	0.1888617471
243	0.1888373897
244	0.1888108179
245	0.1887629451
246	0.1886440726
247	0.1885890958
248	0.1884964372
249	0.1884342265
250	0.1883638497
251	0.1882979915
252	0.1882747477
253	0.1881903438
254	0.1881308302
255	0.1879863292
256	0.187919429
257	0.187840944
258	0.1877276242
259	0.1876506652
260	0.187513013
261	0.1874347875
262	0.1873728076
263	0.1873033847
264	0.1872392648
265	0.187152147
266	0.1870613738
267	0.1869905696
268	0.1868785106
269	0.1867965189
270	0.1867130283
271	0.1866401809
272	0.186563435
273	0.1864794531
274	0.186412273
275	0.1863673481
276	0.1863127009
277	0.1862150365
278	0.1861581923
279	0.186090341
280	0.185972699
281	0.185906617
282	0.185825951
283	0.1857039973
284	0.1856056098
285	0.1855428758
286	0.1854512912
287	0.1853434377
288	0.1852804709
289	0.1852245392
290	0.1851551346
291	0.1850720725
292	0.1850281559
293	0.1849093182
294	0.1848599522
295	0.1848190991
296	0.1847388397
297	0.1846904185
298	0.1845877009
299	0.1845352311
300	0.1844893094
301	0.184407428
302	0.1843409561
303	0.184289151
304	0.184200612
305	0.1841943784
306	0.1841713127
307	0.1840905667
308	0.1840358889
309	0.1839694684
310	0.1838936005
311	0.1838675361
312	0.1837761386
313	0.1837449797
314	0.1836376313
315	0.1835420142
316	0.1835248693
317	0.1834515365
318	0.1833451262
319	0.1832921928
320	0.1832258137
321	0.1830950776
322	0.1830312111
323	0.1829737815
324	0.1828873585
325	0.1828432043
326	0.1827862839
327	0.1827317245
328	0.1826647481
329	0.182602055
330	0.1825341874
331	0.1824583966
332	0.1824005892
333	0.1823288914
334	0.1822523351
335	0.1821652439
336	0.1821053873
337	0.1820480869
338	0.1820103899
339	0.1819731524
340	0.1819051896
341	0.1818232013
342	0.1817990213
343	0.1817183098
344	0.1816522463
345	0.1815850815
346	0.1815243995
347	0.1814480988
348	0.1813680064
349	0.1813093505
350	0.1812483137
351	0.1812129331
352	0.1811514366
